Batch,Para1,Para2,Para3,Para4,Para5
387,0.417,0.432,46876,313.5,707
388,0.417,0.439,50589,318.5,777
389,0.419,0.4175,44610,294.75,658
390,0.419,0.44675,45751,313.5,817
391,0.425,0.441,53531,308.5,980
392,0.425,0.4425,55669,304.5,732
393,0.417,0.433,48307,310,702
394,0.417,0.4455,54785,328.75,1022
395,0.413,0.433,46634,309.25,793
396,0.421,0.436,52534,310.5,1068
397,0.425,0.44225,54464,304.75,964
398,0.425,0.41925,45670,298,794
399,0.417,0.4495,57743,322.5,905
400,0.419,0.443,52390,307.75,934
401,0.417,0.4255,48146,303.25,786
402,0.417,0.439,53113,319.75,922
403,0.417,0.44825,55653,310.25,780
404,0.421,0.452,51762,311.25,987
405,0.421,0.43225,57020,303,810
406,0.417,0.4415,45124,307.5,875
407,0.417,0.44275,52020,323.25,746
408,0.421,0.44725,44786,313.25,733
409,0.417,0.4215,45928,297.25,772
410,0.417,0.444,65346,321.75,875
411,0.417,0.45075,54608,324.5,808
412,0.417,0.44425,65266,317.25,704
413,0.417,0.423,42326,301.5,707
414,0.417,0.44975,56264,302.5,861
415,0.417,0.44325,50814,330,1029
416,0.417,0.435,47920,323.5,800
417,0.417,0.448,47165,319.75,996
418,0.417,0.44975,51056,319.5,821
419,0.417,0.4405,48724,307,700
420,0.419,0.43625,45574,308.25,830
421,0.419,0.42425,48773,305,1015
422,0.425,0.4275,48242,302.25,971
423,0.417,0.434,47503,306.5,718
424,0.419,0.442,60508,309.5,737
425,0.417,0.444,54062,318,884
426,0.419,0.4235,45059,300,1001
427,0.423,0.438,52164,299.25,920
428,0.419,0.418,47937,304.25,921
429,0.425,0.445,51457,300,893
430,0.421,0.44025,53017,311.25,887
431,0.417,0.44625,59351,323.5,789
432,0.417,0.436,44749,310,789
433,0.417,0.45075,59578,316.5,934
434,0.419,0.4415,61167,325.25,1034
435,0.425,0.43925,53016,308,1004
436,0.419,0.42675,52551,294.5,641
437,0.419,0.4505,57839,328,1172
438,0.421,0.4405,57325,301.5,718
439,0.425,0.44025,46554,303.75,896
440,0.428,0.45475,59752,316.5,810
441,0.421,0.44725,52148,298,686
442,0.429,0.431,52936,306.75,929
443,0.417,0.4375,43034,307.75,791
444,0.421,0.42575,46586,307.5,714
445,0.421,0.43825,52792,321.5,875
446,0.417,0.4235,47905,302.25,749
447,0.421,0.449,52262,312.5,886
448,0.421,0.442,51313,308,1024
449,0.417,0.44225,56087,320.5,826
450,0.417,0.44425,52204,310.25,868
451,0.417,0.437,49400,316.75,947
452,0.425,0.43525,46554,313.25,929
453,0.417,0.44025,47310,312.5,1116
454,0.421,0.443,53596,311,962
455,0.417,0.453,57426,312.5,1024
456,0.433,0.4435,53933,309.5,1183
457,0.421,0.446,49030,316.75,1085
458,0.421,0.432,49448,314,1036
459,0.421,0.4455,48998,320.5,1148
460,0.413,0.451,54769,301,816
461,0.413,0.4425,54059,313.5,1017
462,0.417,0.42925,47889,312.5,968
463,0.417,0.444,55235,311.5,878
464,0.417,0.4525,51699,310.25,931
465,0.417,0.432,42809,307,906
466,0.417,0.437,45526,301.25,796
467,0.421,0.43375,55396,328.25,926
468,0.421,0.43225,46298,304.75,948
469,0.425,0.4355,50477,304,936
470,0.417,0.44525,46988,307.5,989
471,0.417,0.42975,41169,299.25,931
